deviceid,latitude,longitude,year,week,category
216,37.492879862500004,127.0904471375,2019,47,none
216,37.561220750000004,127.0383053,2019,47,"한식>칼국수,만두"
216,37.4875621,127.10214395,2019,47,none
216,37.5588687,127.0322719,2019,47,종교>개신교
216,37.540732950000006,127.0187552,2019,47,주택>아파트
216,37.5449006,126.9507047,2019,47,주택>주상복합
216,37.5415796,126.9500207,2019,47,주택>아파트
216,37.4838495,127.1057927,2019,47,주택>아파트
216,37.4853903,127.1053151,2019,47,"음식점>카페,디저트"
216,37.5704699,126.9961511,2019,47,수선>구두수선
216,37.5648697,126.9877194,2019,47,주택>아파트
216,37.5650975,127.03635455,2019,47,수선>구두수선
216,37.4864532375,127.10484533750001,2019,48,주택>아파트
216,37.5198801,126.9404444,2019,48,"서비스,산업>기업"
216,37.565080949999995,127.03628985,2019,48,수선>구두수선
216,37.561372825,127.0383914,2019,48,"한식>칼국수,만두"
216,37.5568554,126.89721915,2019,48,"스포츠,오락>구민체육센터"
216,37.4838034,127.1058657,2019,48,주택>아파트
216,37.5257763,126.9384753,2019,48,음식점>패밀리레스토랑
216,37.5634886,127.03673815,2019,48,"공공,사회기관>구청"
216,37.5704588,126.9961512,2019,48,수선>구두수선
216,37.564829,126.9879781,2019,48,"시설,건물>기업,빌딩"
